349 x[1,0] 6.427277853384005e-16
350 x[1,0.2] 3.233605572861478e-16
351 x[1,1] 1.6171904509574843e-15
352 x[1,1.2] 1.6220754743040036e-15
353 x[1,2] 2.593713825197276e-15
354 x[1,2.2] 2.599310292057052e-15
355 x[1,3] 3.572804555846014e-15
356 x[1,3.2] 3.580144453439717e-15
357 x[1,4] 4.55925143595576e-15
358 x[1,4.2] 4.572160872066838e-15
359 x[1,5] 5.569508693780985e-15
360 x[1,6] 5.569508693780985e-15
361 x[2,0] 8.507947047304445e-15
362 x[2,0.2] 4.275547473612204e-15
363 x[2,1] 2.1385969923960805e-14
364 x[2,1.2] 2.1445859147374887e-14
365 x[2,2] 3.42916785130187e-14
366 x[2,2.2] 3.435508007448149e-14
367 x[2,3] 4.7202303411056724e-14
368 x[2,3.2] 4.726625391422463e-14
369 x[2,4] 6.011200782327812e-14
370 x[2,4.2] 6.017435082666021e-14
371 x[2,5] 7.301487370606566e-14
372 x[2,6] 7.30148737060592e-14
373 x[3,0] 0.25656345427206095
374 x[3,0.2] 0.14315882121348264
375 x[3,1] 0.08112992513165869
376 x[3,1.2] 0.04165103355311644
377 x[3,2] 0.011714786438357423
378 x[3,2.2] -0.01815591259512084
379 x[3,3] -0.054650666095522306
380 x[3,3.2] -0.10404032088834206
381 x[3,4] -0.1637760995061801
382 x[3,4.2] -0.23666956200554753
383 x[3,5] -0.36820125875994314
384 x[3,6] -0.3682012587599453
385 x[4,0] 0.12154272936527538
386 x[4,0.2] 0.19419336354203118
387 x[4,1] 0.18146726617332956
388 x[4,1.2] 0.1396023299624066
389 x[4,2] 0.09043530358085476
390 x[4,2.2] 0.04736108559501043
391 x[4,3] 0.017082562252017142
392 x[4,3.2] 0.005523492156284385
393 x[4,4] 0
394 x[4,4.2] 0
395 x[4,5] 0.09777411017880007
396 x[4,6] 0.09777411017878665
397 x[5,0] -0.4222067553871863
398 x[5,0.2] -0.3756008541516822
399 x[5,1] -0.2959940480875431
400 x[5,1.2] -0.21400854649658613
401 x[5,2] -0.13872800264532187
402 x[5,2.2] -0.07315217329238456
403 x[5,3] -0.015030283020480083
404 x[5,3.2] 0.03862518937032566
405 x[5,4] 0.10269140529369114
406 x[5,4.2] 0.18375363176449985
407 x[5,5] 0.2263265768313233
408 x[5,6] 0.22632657683132312
409 x[6,0] -0.6485333322185093
410 x[6,0.2] -0.5864852371777931
411 x[6,1] -0.4577086402154217
412 x[6,1.2] -0.28956215602216895
413 x[6,2] -0.10240697441130517
414 x[6,2.2] 0.08544417889590854
415 x[6,3] 0.25795266571145165
416 x[6,3.2] 0.4013842355029539
417 x[6,4] 0.5206706431473551
418 x[6,4.2] 0.6169632028967187
419 x[6,5] 0.6485333322185362
420 x[6,6] 0.6485333322185227
421 x[7,0] -0.09777411017877448
422 x[7,0.2] -0.23329646350066993
423 x[7,1] -0.29054319144568047
424 x[7,1.2] -0.3000626273764425
425 x[7,2] -0.2757118321927236
426 x[7,2.2] -0.22708220267206725
427 x[7,3] -0.16236907577307713
428 x[7,3.2] -0.09281465546357721
429 x[7,4] -0.04225069208130086
430 x[7,4.2] -0.03924054273700451
431 x[7,5] -0.12154272936524908
432 x[7,6] -0.12154272936526171
433 x[8,0] 5.3092120621561507e-17
434 x[8,0.2] 6.040973913095353e-17
435 x[8,1] 6.416779030346298e-17
436 x[8,1.2] 7.497006525935903e-17
437 x[8,2] 8.316689986784913e-17
438 x[8,2.2] 8.480311926186398e-17
439 x[8,3] 1.3486513465514536e-16
440 x[8,3.2] 1.1013211757711834e-16
441 x[8,4] 2.9711445496552894e-16
442 x[8,4.2] 1.9360935666057244e-16
443 x[8,5] 8.214009375553959e-16
444 x[8,6] -1.3241051264079047e-15
445 x[9,0] 4.563147116085012e-16
446 x[9,0.2] 7.258424867798535e-16
