326 x[1,0] 0
327 x[1,1] 1.979566543326039e-09
328 x[1,2] 4.929475000782036e-09
329 x[1,3] 2.022344432113779e-08
330 x[1,4] 0.008668541895803097
331 x[1,5] 0.026005558587309293
332 x[1,6] 0.04334257524570093
333 x[1,7] 0.060679591731049004
334 x[1,8] 0.07801660810116631
335 x[1,9] 0.09535362442926802
336 x[1,10] 0.11269064078911856
337 x[1,11] 0.13002765725422474
338 x[1,12] 0.1473646738873843
339 x[1,13] 0.16470169061649118
340 x[1,14] 0.1739590133352783
341 x[1,15] 0.17454782987869324
342 x[1,16] 0.17454783316357456
343 x[1,17] 0.174547834785909
344 x[1,18] 0.1745478353136621
345 x[1,19] 0.1745478346501839
346 x[1,20] 0.174547832178583
347 x[1,21] 0.1745478254338397
348 x[1,22] 0.14849172690937334
349 x[1,23] 0.08162375459647203
350 x[1,24] 0
351 x[2,0] -0.8
352 x[2,1] -0.7999999976202786
353 x[2,2] -0.7999999922885802
354 x[2,3] -0.7999999445125778
355 x[2,4] -0.7601192499479389
356 x[2,5] -0.6803579446112459
357 x[2,6] -0.6005966341947734
358 x[2,7] -0.5208353221321892
359 x[2,8] -0.4410740093759551
360 x[2,9] -0.36131269640583713
361 x[2,10] -0.281551383595754
362 x[2,11] -0.20179007139728702
363 x[2,12] -0.12202876065235636
364 x[2,13] -0.04226745407123843
365 x[2,14] -0.0004248156714460395
366 x[2,15] 0.0015371755352225516
367 x[2,16] 0.0015371816131955012
368 x[2,17] 0.0015371837033393155
369 x[2,18] 0.0015371842393277373
370 x[2,19] 0.0015371839051060798
371 x[2,20] 0.0015371830032248374
372 x[2,21] 0.0015371817378551824
373 x[2,22] 0.0007685914577891941
374 x[2,23] 9.38335909920344e-10
375 x[2,24] 0
376 x[3,0] 0.7853981633974483
377 x[3,1] 0.9486456872882625
378 x[3,2] 1.111893210417872
379 x[3,3] 1.2751406461326962
380 x[3,4] 1.3567643361155017
381 x[3,5] 1.3567643550096495
382 x[3,6] 1.3567643633456081
383 x[3,7] 1.356764367719958
384 x[3,8] 1.3567643697146765
385 x[3,9] 1.356764369839097
386 x[3,10] 1.356764368121608
387 x[3,11] 1.3567643641357972
388 x[3,12] 1.3567643565330054
389 x[3,13] 1.3567643401682365
390 x[3,14] 1.279237434518549
391 x[3,15] 1.1200867824242977
392 x[3,16] 0.9568392609476574
393 x[3,17] 0.793591732091161
394 x[3,18] 0.6303442012240174
395 x[3,19] 0.46709667035173286
396 x[3,20] 0.3038491414739769
397 x[3,21] 0.14060161991002154
398 x[3,22] 0.02948894766550204
399 x[3,23] 2.2991731143549064e-08
400 x[3,24] 0
401 x[4,0] 2.3643680614931054e-08
402 x[4,1] 2.4860983024525797e-08
403 x[4,2] 4.741964543384268e-08
404 x[4,3] 3.273234110442038e-07
405 x[4,4] 0.21240156666234158
406 x[4,5] 0.2124015682343674
407 x[4,6] 0.21240156585094622
408 x[4,7] 0.21240156399433824
409 x[4,8] 0.2124015630274851
410 x[4,9] 0.21240156296484441
411 x[4,10] 0.21240156380541544
412 x[4,11] 0.212401565543889
413 x[4,12] 0.2124015679231708
414 x[4,13] 0.21240156789485495
415 x[4,14] 0.014427521657651165
416 x[4,15] 5.362662478452408e-08
417 x[4,16] 2.686173528350718e-08
418 x[4,17] 1.2889789641057299e-08
419 x[4,18] 4.1574528023164904e-11
420 x[4,19] -1.629855567746068e-08
421 x[4,20] -4.426225295670639e-08
422 x[4,21] -1.2100193859374778e-07
423 x[4,22] -0.6384437666246661
424 x[4,23] -0.999999846146597
425 x[4,24] -0.9999997761416851
426 x[5,0] 2.364368065206881e-08
427 x[5,1] 3.4665844614861307e-08
428 x[5,2] 9.59749891198408e-08
429 x[5,3] 1.0746645428415052e-06
430 x[5,4] 0.97718227667969
431 x[5,5] 0.9771823728668549
432 x[5,6] 0.9771824011478338
433 x[5,7] 0.9771824132009803
434 x[5,8] 0.9771824181441077
435 x[5,9] 0.9771824184417055
